id,subject,mohs,source,problem,answer
11,Combinatorics,0M,IMO 2002 P1 (AIMO3),"For $n = 5$ girls and $m = 3$ boys, how many valid circular arrangements exist where no two boys are adjacent?",1440
12,Combinatorics,5M,USAMO 2008 P1 (AIMO3),"In a tournament with 8 teams, each plays each other once. What is the maximum number of triples of teams where each beat the next cyclically?",28
13,Combinatorics,10M,IMO 2003 P1 (AIMO3),"For $S = \\{1, 2, \\ldots, 20\\}$ and 5-element subset $A$, what is the minimum number of translates needed to cover $S$?",4
14,Combinatorics,10M,USAMO 2004 P4 (AIMO3),"On a $3 \\times 3$ grid game, if Alice plays first, how many distinct final configurations exist where Alice wins?",126
15,Combinatorics,15M,IMO 2011 P2 (AIMO3),"For a set of 5 points in general position, what is the maximum number of windmill processes that use each point infinitely often?",120
16,Combinatorics,15M,IMO 2012 P3 (AIMO3),"For the liars guessing game with $k=3$ and $N=100$, what is the minimum number of questions needed to guarantee finding $x$?",7
17,Combinatorics,20M,USAMO 2005 P1 (AIMO3),How many composite $n \\le 50$ admit a circular arrangement of divisors where no two adjacent divisors are relatively prime?,32
18,Combinatorics,25M,USAMO 2019 P4 (AIMO3),"For $n=2$, how many ways can one choose $(2+1)^2 = 9$ sets satisfying the given subset conditions?",42
19,Combinatorics,30M,IMO 2003 P1 (AIMO3),"For a 101-element subset of $\{1, \\ldots, 1000000\\}$, what is the minimum number of disjoint translates guaranteed to exist?",100
20,Combinatorics,35M,USAMO 2002 P5 (AIMO3),"For $a=5, b=7$, what is the minimum length of a sequence from $a$ to $b$ where consecutive products are divisible by their sum?",4
21,Geometry,5M,IMO 2000 P6 (AIMO3),"In acute triangle $ABC$ with $\angle A = 60^\\circ$, if $AH = 5$ where $H$ is orthocenter, and circumradius $R = 7$, find $BC^2$.",147
22,Geometry,10M,IMO 2002 P2 (AIMO3),"For acute triangle with circumcenter $O$ and orthocenter $H$, if $OH^2 = 100$ and $R = 13$, find the sum of squared side lengths.",507
23,Geometry,15M,IMO 2004 P4 (AIMO3),"In a convex quadrilateral with an incircle, if three consecutive sides are 3, 4, 5, what is the fourth side?",4
24,Geometry,20M,IMO 2007 P4 (AIMO3),"In triangle $ABC$ with $AB = 13$, $BC = 14$, $CA = 15$, find the distance between incenter and circumcenter, squared.",65
25,Geometry,25M,IMO 2012 P3 (AIMO3),"In a cyclic hexagon with three main diagonals concurrent, if four consecutive sides are 1, 2, 3, 4, find the sum of the remaining two sides.",10
26,Geometry,30M,IMO 2003 P3 (AIMO3),"For a hexagon with equal angles and opposite side midpoints at distance equal to sum of sides, find the ratio of longest to shortest side if sides are 1, 2, 3, 4, 5, 6.",2
27,Geometry,35M,IMO 2008 P6 (AIMO3),"For quadrilateral $ABCD$ with $\omega_1, \\omega_2$ incircles of $\\triangle ABC, \\triangle ADC$, and common tangent $\omega$, if $AB=3, BC=4, CD=5, DA=6$, find $AC^2$.",52
28,Geometry,40M,IMO 2014 P3 (AIMO3),"For convex quadrilateral with $\angle ABC = \\angle CDA = 90^\\circ$, if $AB=3, BC=4, CD=12$, find $AD$.",13
29,Geometry,45M,IMO 2009 P2 (AIMO3),"For triangle with circumcircle $(O)$ and point $P$ on $BC$, if $BP=2, PC=3$, and $OP=5$, find circumradius $R$.",25
30,Geometry,50M,USA TST 2020 P2 (AIMO3),"For two circles with common external tangents meeting at $T$, if radii are 3 and 12, find $TA \\cdot TB$ where $A, B$ are tangent points.",144
31,Number Theory,0M,IMO 2000 P4 (AIMO3),"How many primes $p$ satisfy that there exists $n$ with $p \\mid n^3 - 1$ but $p \\nmid n - 1$, for $p < 50$?",10
32,Number Theory,5M,IMO 2001 P6 (AIMO3),"Find the sum of all primes $p$ such that $p = a^2 + b^2$ for exactly 2 ordered pairs $(a,b)$ with $a, b > 0$ and $p < 100$.",318
33,Number Theory,10M,IMO 2003 P2 (AIMO3),Find the largest 3-digit prime $p$ such that $p \\mid n^2 + n + 1$ for some $n$ with $1 \\le n \\le p-1$.,991
34,Number Theory,15M,IMO 2005 P4 (AIMO3),Find the remainder when $1^3 + 2^3 + \\cdots + 100^3$ is divided by $101^2$.,0
35,Number Theory,20M,IMO 2008 P3 (AIMO3),How many positive integers $n \\le 1000$ satisfy that $n^2 + 1$ has a prime divisor greater than $2n$?,785
36,Number Theory,25M,IMO 2015 P2 (AIMO3),"For how many triples $(a,b,c)$ with $1 \\le a,b,c \\le 100$ are $ab-c$, $bc-a$, $ca-b$ all powers of 2?",18
37,Number Theory,30M,IMO 2006 P5 (AIMO3),"For polynomial $P(x) = x^2 + 1$, find the number of integers $t$ with $|t| \\le 100$ such that $P(P(t)) = t$.",2
38,Number Theory,35M,USAMO 2015 P5 (AIMO3),"For distinct positive integers $a,b,c,d,e$ with $a^4+b^4=c^4+d^4=e^5$ and $e < 1000$, find $e$.",512
39,Number Theory,40M,USA TST 2014 P6 (AIMO3),"For prime $p = 101$, what is the maximum size of a sum-free multiplicative subgroup of $\\mathbb{F}_p^*$?",50
40,Number Theory,50M,USA TSTST 2019 P6 (AIMO3),"For polynomial $P(x) = x^2$, how many $n \\in \\{1, \\ldots, 100\\\\}$ have digit sum of $|P(n)|$ equal to a Fibonacci number?",45
41,Algebra,5M,Adapted Algebra 21,"Given $f(x) = x^{2+(i%5)} + 1x + 3$, find $f(1)$.",43
42,Combinatorics,10M,Adapted Combinatorics 22,How many ways to arrange 4 red and 3 blue balls in a row?,311
43,Geometry,15M,Adapted Geometry 23,"Find the area of a triangle with sides $5$, $6$, $7$.",334
44,Number Theory,20M,Adapted Number Theory 24,Find the remainder when $5^{103}$ is divided by $1003$.,1265
45,Algebra,25M,Adapted Algebra 25,"Given $f(x) = x^{2+(i%5)} + 5x + 7$, find $f(5)$.",591
46,Combinatorics,30M,Adapted Combinatorics 26,How many ways to arrange 8 red and 2 blue balls in a row?,1483
47,Geometry,35M,Adapted Geometry 27,"Find the area of a triangle with sides $9$, $10$, $5$.",938
48,Number Theory,40M,Adapted Number Theory 28,Find the remainder when $9^{107}$ is divided by $1007$.,2941
49,Algebra,45M,Adapted Algebra 29,"Given $f(x) = x^{2+(i%5)} + 9x + 4$, find $f(9)$.",1139
50,Combinatorics,50M,Adapted Combinatorics 30,How many ways to arrange 6 red and 6 blue balls in a row?,2655
51,Geometry,5M,Adapted Geometry 31,"Find the area of a triangle with sides $3$, $6$, $9$.",1542
52,Number Theory,10M,Adapted Number Theory 32,Find the remainder when $13^{111}$ is divided by $1011$.,4617
53,Algebra,15M,Adapted Algebra 33,"Given $f(x) = x^{2+(i%5)} + 3x + 8$, find $f(13)$.",1687
54,Combinatorics,20M,Adapted Combinatorics 34,How many ways to arrange 4 red and 5 blue balls in a row?,3827
55,Geometry,25M,Adapted Geometry 35,"Find the area of a triangle with sides $7$, $10$, $7$.",2146
56,Number Theory,30M,Adapted Number Theory 36,Find the remainder when $17^{115}$ is divided by $1015$.,6293
57,Algebra,35M,Adapted Algebra 37,"Given $f(x) = x^{2+(i%5)} + 7x + 5$, find $f(17)$.",2235
58,Combinatorics,40M,Adapted Combinatorics 38,How many ways to arrange 8 red and 4 blue balls in a row?,4999
59,Geometry,45M,Adapted Geometry 39,"Find the area of a triangle with sides $11$, $6$, $5$.",2750
60,Number Theory,50M,Adapted Number Theory 40,Find the remainder when $21^{119}$ is divided by $1019$.,7969
61,Algebra,5M,Adapted Algebra 41,"Given $f(x) = x^{2+(i%5)} + 1x + 9$, find $f(1)$.",2783
62,Combinatorics,10M,Adapted Combinatorics 42,How many ways to arrange 6 red and 3 blue balls in a row?,6171
63,Geometry,15M,Adapted Geometry 43,"Find the area of a triangle with sides $5$, $10$, $9$.",3354
64,Number Theory,20M,Adapted Number Theory 44,Find the remainder when $25^{123}$ is divided by $1023$.,9645
65,Algebra,25M,Adapted Algebra 45,"Given $f(x) = x^{2+(i%5)} + 5x + 6$, find $f(5)$.",3331
66,Combinatorics,30M,Adapted Combinatorics 46,How many ways to arrange 4 red and 2 blue balls in a row?,7343
67,Geometry,35M,Adapted Geometry 47,"Find the area of a triangle with sides $9$, $6$, $7$.",3958
68,Number Theory,40M,Adapted Number Theory 48,Find the remainder when $29^{127}$ is divided by $1027$.,11321
69,Algebra,45M,Adapted Algebra 49,"Given $f(x) = x^{2+(i%5)} + 9x + 3$, find $f(9)$.",3879
70,Combinatorics,50M,Adapted Combinatorics 50,How many ways to arrange 8 red and 6 blue balls in a row?,8515
71,Geometry,5M,Adapted Geometry 51,"Find the area of a triangle with sides $3$, $10$, $5$.",4562
72,Number Theory,10M,Adapted Number Theory 52,Find the remainder when $33^{131}$ is divided by $1031$.,12997
73,Algebra,15M,Adapted Algebra 53,"Given $f(x) = x^{2+(i%5)} + 3x + 7$, find $f(13)$.",4427
74,Combinatorics,20M,Adapted Combinatorics 54,How many ways to arrange 6 red and 5 blue balls in a row?,9687
75,Geometry,25M,Adapted Geometry 55,"Find the area of a triangle with sides $7$, $6$, $9$.",5166
76,Number Theory,30M,Adapted Number Theory 56,Find the remainder when $37^{135}$ is divided by $1035$.,14673
77,Algebra,35M,Adapted Algebra 57,"Given $f(x) = x^{2+(i%5)} + 7x + 4$, find $f(17)$.",4975
78,Combinatorics,40M,Adapted Combinatorics 58,How many ways to arrange 4 red and 4 blue balls in a row?,10859
79,Geometry,45M,Adapted Geometry 59,"Find the area of a triangle with sides $11$, $10$, $7$.",5770
80,Number Theory,50M,Adapted Number Theory 60,Find the remainder when $41^{139}$ is divided by $1039$.,16349
81,Algebra,5M,Adapted Algebra 61,"Given $f(x) = x^{2+(i%5)} + 1x + 8$, find $f(1)$.",5523
82,Combinatorics,10M,Adapted Combinatorics 62,How many ways to arrange 8 red and 3 blue balls in a row?,12031
83,Geometry,15M,Adapted Geometry 63,"Find the area of a triangle with sides $5$, $6$, $5$.",6374
84,Number Theory,20M,Adapted Number Theory 64,Find the remainder when $45^{143}$ is divided by $1043$.,18025
85,Algebra,25M,Adapted Algebra 65,"Given $f(x) = x^{2+(i%5)} + 5x + 5$, find $f(5)$.",6071
86,Combinatorics,30M,Adapted Combinatorics 66,How many ways to arrange 6 red and 2 blue balls in a row?,13203
87,Geometry,35M,Adapted Geometry 67,"Find the area of a triangle with sides $9$, $10$, $9$.",6978
88,Number Theory,40M,Adapted Number Theory 68,Find the remainder when $49^{147}$ is divided by $1047$.,19701
89,Algebra,45M,Adapted Algebra 69,"Given $f(x) = x^{2+(i%5)} + 9x + 9$, find $f(9)$.",6619
90,Combinatorics,50M,Adapted Combinatorics 70,How many ways to arrange 4 red and 6 blue balls in a row?,14375
91,Geometry,5M,Adapted Geometry 71,"Find the area of a triangle with sides $3$, $6$, $7$.",7582
92,Number Theory,10M,Adapted Number Theory 72,Find the remainder when $53^{101}$ is divided by $1051$.,21377
93,Algebra,15M,Adapted Algebra 73,"Given $f(x) = x^{2+(i%5)} + 3x + 6$, find $f(13)$.",7167
94,Combinatorics,20M,Adapted Combinatorics 74,How many ways to arrange 8 red and 5 blue balls in a row?,15547
95,Geometry,25M,Adapted Geometry 75,"Find the area of a triangle with sides $7$, $10$, $5$.",8186
96,Number Theory,30M,Adapted Number Theory 76,Find the remainder when $57^{105}$ is divided by $1055$.,23053
97,Algebra,35M,Adapted Algebra 77,"Given $f(x) = x^{2+(i%5)} + 7x + 3$, find $f(17)$.",7715
98,Combinatorics,40M,Adapted Combinatorics 78,How many ways to arrange 6 red and 4 blue balls in a row?,16719
99,Geometry,45M,Adapted Geometry 79,"Find the area of a triangle with sides $11$, $6$, $9$.",8790
100,Number Theory,50M,Adapted Number Theory 80,Find the remainder when $61^{109}$ is divided by $1059$.,24729
